user_id,protein,fats,carbohydrates,calorieConsumed,mealType,mealName,timestamp
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,25,20,90,600,breakfast,parantha,2024-10-13 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,40,500,lunch,packaged salad,2024-10-13 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,15,30,50,520,snacks,ice cream,2024-10-13 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,35,15,60,520,dinner,grilled chicken with rice,2024-10-13 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,20,15,70,500,breakfast,oatmeal with fruits,2024-10-14 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,40,20,50,540,lunch,homemade sandwich,2024-10-14 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,10,5,30,200,snacks,fruit salad,2024-10-14 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,55,550,dinner,vegetable stir-fry,2024-10-14 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,25,20,90,600,breakfast,parantha,2024-10-15 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,40,500,lunch,packaged salad,2024-10-15 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,15,30,50,520,snacks,chocolate bar,2024-10-15 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,35,15,60,520,dinner,grilled fish with vegetables,2024-10-15 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,20,15,70,500,breakfast,whole grain toast with avocado,2024-10-16 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,40,20,50,540,lunch,homemade chicken wrap,2024-10-16 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,10,5,30,200,snacks,carrot sticks with hummus,2024-10-16 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,55,550,dinner,lentil soup with bread,2024-10-16 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,25,20,90,600,breakfast,parantha,2024-10-17 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,40,500,lunch,packaged sushi,2024-10-17 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,15,30,50,520,snacks,ice cream,2024-10-17 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,35,15,60,520,dinner,baked salmon with quinoa,2024-10-17 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,20,15,70,500,breakfast,smoothie bowl,2024-10-18 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,40,20,50,540,lunch,homemade vegetable soup,2024-10-18 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,10,5,30,200,snacks,apple with peanut butter,2024-10-18 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,55,550,dinner,tofu stir-fry,2024-10-18 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,25,20,90,600,breakfast,breakfast burrito,2024-10-19 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,40,20,50,540,lunch,grilled chicken salad,2024-10-19 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,10,5,30,200,snacks,mixed nuts,2024-10-19 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,55,550,dinner,spaghetti with meatballs,2024-10-19 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,20,15,70,500,breakfast,french toast,2024-10-20 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,35,25,60,600,lunch,homemade pizza,2024-10-20 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,15,10,40,300,snacks,yogurt with granola,2024-10-20 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,20,50,500,dinner,grilled vegetables with quinoa,2024-10-20 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,25,20,90,600,breakfast,parantha,2024-10-21 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,40,500,lunch,packaged sandwich,2024-10-21 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,15,30,50,520,snacks,cupcake,2024-10-21 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,35,15,60,520,dinner,chicken curry with rice,2024-10-21 20:00:00
